City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Fukue,JP,2020-11-26 17:39:46,32.69,128.84,61.45,70,82,12.73
171,Knysna,ZA,2020-11-26 17:43:45,-34.04,23.05,60.8,77,75,5.82
172,Lagoa,PT,2020-11-26 17:43:46,39.05,-27.98,60.6,72,92,8.61
173,Narsaq,GL,2020-11-26 17:43:46,60.92,-46.05,24.8,41,75,6.93
174,Kudahuvadhoo,MV,2020-11-26 17:43:46,2.67,72.89,81.63,80,41,13.62
175,Atambua,ID,2020-11-26 17:43:46,-9.11,124.89,76.57,83,86,2.95
176,Moyale,KE,2020-11-26 17:43:46,3.52,39.06,71.19,82,100,6.71
177,Roma,US,2020-11-26 17:43:47,43.21,-75.46,52.0,87,90,4.7
178,Marau,BR,2020-11-26 17:43:47,-28.45,-52.2,70.61,89,100,7.65
179,Guerrero Negro,MX,2020-11-26 17:43:47,27.98,-114.06,65.97,60,74,11.97
180,Sao Joao Da Barra,BR,2020-11-26 17:43:47,-21.64,-41.05,82.4,61,20,18.34
181,Bethel,US,2020-11-26 17:43:48,41.37,-73.41,60.01,96,99,8.23
182,Torbay,CA,2020-11-26 17:43:48,47.67,-52.73,39.99,95,90,12.75
183,Aswan,EG,2020-11-26 17:43:48,24.09,32.91,65.68,37,0,10.71
184,Dhar,IN,2020-11-26 17:43:48,22.6,75.3,66.29,36,72,13.38
185,Kushima,JP,2020-11-26 17:40:28,31.46,131.23,57.96,85,16,4.85
186,Hasaki,JP,2020-11-26 17:43:49,35.73,140.83,55.4,82,75,10.29
187,Basoko,CD,2020-11-26 17:43:49,1.24,23.62,76.82,76,100,1.79
188,Port Hedland,AU,2020-11-26 17:43:49,-20.32,118.57,78.8,88,0,6.93
189,Hambantota,LK,2020-11-26 17:43:49,6.12,81.12,79.0,80,8,9.1
190,Kota Bahru,MY,2020-11-26 17:43:50,6.13,102.24,80.6,88,40,12.75
191,Hithadhoo,MV,2020-11-26 17:43:50,-0.6,73.08,82.58,78,100,13.13
192,Nuenen,NL,2020-11-26 17:43:51,51.47,5.55,48.0,93,90,2.24
193,Benghazi,LY,2020-11-26 17:43:16,32.12,20.07,64.63,67,31,11.86
194,Capreol,CA,2020-11-26 17:43:51,46.71,-80.92,36.0,100,90,2.24
195,Arys,KZ,2020-11-26 17:43:52,42.43,68.8,39.2,60,100,6.71
196,Ballina,AU,2020-11-26 17:43:52,-28.87,153.57,63.0,93,11,2.8
197,Petropavlovsk-Kamchatskiy,RU,2020-11-26 17:43:52,53.05,158.65,8.6,84,66,6.71
198,Sidi Ali,DZ,2020-11-26 17:43:52,36.1,0.42,64.29,44,64,15.57
199,Deputatskiy,RU,2020-11-26 17:43:52,69.3,139.9,-8.32,90,95,10.13
200,Longford,IE,2020-11-26 17:43:53,53.73,-7.8,39.36,97,100,5.08
201,Beloha,MG,2020-11-26 17:43:53,-25.17,45.05,72.84,77,0,3.85
202,Dalaba,GN,2020-11-26 17:43:53,10.7,-12.25,71.02,34,64,1.07
203,Dakar,SN,2020-11-26 17:43:53,14.69,-17.44,84.2,51,0,16.11
204,Laguna,US,2020-11-26 17:43:54,38.42,-121.42,55.0,43,1,19.46
205,Severo-Kurilsk,RU,2020-11-26 17:43:54,50.68,156.12,27.19,88,82,27.18
206,Bood,PH,2020-11-26 17:43:54,9.75,123.83,80.6,83,20,2.24
207,Esperance,AU,2020-11-26 17:43:54,-33.87,121.9,64.4,88,90,20.8
208,Kalyazin,RU,2020-11-26 17:43:54,57.24,37.84,33.66,97,100,10.71
209,Grand Gaube,MU,2020-11-26 17:43:55,-20.01,57.66,75.99,76,13,5.99
210,Port Hardy,CA,2020-11-26 17:40:37,50.7,-127.42,42.8,93,90,17.22
211,Clyde River,CA,2020-11-26 17:43:55,70.47,-68.59,1.4,70,75,11.41
212,Anan,JP,2020-11-26 17:43:56,33.92,134.65,53.6,81,20,8.05
213,Coahuayana,MX,2020-11-26 17:43:56,18.73,-103.68,78.8,69,40,5.48
214,Neuquen,AR,2020-11-26 17:43:56,-38.95,-68.06,71.6,16,0,5.82
215,Lorengau,PG,2020-11-26 17:43:56,-2.02,147.27,80.15,79,75,3.8
216,Adre,TD,2020-11-26 17:43:57,13.47,22.2,73.72,25,0,5.88
217,Ahipara,NZ,2020-11-26 17:43:57,-35.17,173.17,59.7,88,33,7.56
218,Takanosu,JP,2020-11-26 17:43:57,40.22,140.37,32.79,92,22,0.67
219,Ponta Do Sol,PT,2020-11-26 17:43:57,32.67,-17.1,59.0,62,75,14.99
220,Cidreira,BR,2020-11-26 17:43:57,-30.18,-50.21,80.89,70,90,2.93
221,Pemangkat,ID,2020-11-26 17:43:58,1.17,108.97,75.67,90,100,7.14
222,Srednekolymsk,RU,2020-11-26 17:43:58,67.45,153.68,16.86,96,100,22.59
223,Pozo Colorado,PY,2020-11-26 17:43:58,-23.49,-58.8,102.29,29,89,10.42
224,San Patricio,US,2020-11-26 17:43:59,28.02,-97.52,80.6,65,40,4.7
225,Dubrovka,RU,2020-11-26 17:43:59,53.69,33.51,37.96,95,100,10.33
226,Belfast,GB,2020-11-26 17:43:59,54.58,-5.93,46.4,70,98,5.82
227,Port Hawkesbury,CA,2020-11-26 17:43:59,45.62,-61.35,46.99,100,90,4.7
228,Khorosheve,UA,2020-11-26 17:44:00,49.85,36.22,39.2,86,90,4.47
229,Nipawin,CA,2020-11-26 17:44:00,53.37,-104.0,17.6,78,90,8.05
230,Tazovskiy,RU,2020-11-26 17:44:00,67.47,78.7,4.33,95,97,8.63
231,Bambous Virieux,MU,2020-11-26 17:44:00,-20.34,57.76,75.99,78,40,6.93
232,Okha,RU,2020-11-26 17:44:01,53.57,142.95,14.59,96,97,11.83
233,Paracuru,BR,2020-11-26 17:44:01,-3.41,-39.03,82.99,69,51,21.0
234,Talnakh,RU,2020-11-26 17:44:01,69.49,88.4,15.8,92,75,20.13
235,Claveria,PH,2020-11-26 17:44:02,18.61,121.08,77.9,84,95,19.48
236,Upernavik,GL,2020-11-26 17:44:02,72.79,-56.15,10.29,94,100,1.54
237,Griffin,US,2020-11-26 17:41:39,33.25,-84.26,72.0,93,90,3.36
238,Redcar,GB,2020-11-26 17:39:36,54.62,-1.06,44.01,79,0,3.0
